id,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
35,36.3214119896293,-80.1030436065048,0,2021-02-11T23:08:04Z,,,08-033,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
36,36.3188882824033,-80.1070048101246,0,2021-02-11T23:08:04Z,,,08-034,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
37,36.3118510041386,-80.1059789489955,0,2021-02-11T23:08:04Z,,,08-035,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
38,36.3014422729611,-80.1323091052473,0,2021-02-11T23:08:04Z,,,08-036,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
39,36.29284738563,-80.141510758549,0,2021-02-11T23:08:04Z,,,08-037,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
40,36.293412996456,-80.1417731959373,0,2021-02-11T23:08:04Z,,,08-037T,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
41,36.2918945308775,-80.1410260330886,0,2021-02-11T23:08:04Z,,,08-038,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
42,36.2889219727367,-80.1414037216455,0,2021-02-11T23:08:04Z,,,08-039,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
43,36.2658490240574,-80.1211055181921,0,2021-02-11T23:08:04Z,,,08-040,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
44,36.2578619923443,-80.1039098761976,0,2021-02-11T23:08:04Z,,,08-041,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
45,36.2516301311553,-80.0991027709097,0,2021-02-11T23:08:04Z,,,08-042,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
46,36.2493003811687,-80.0962991919369,0,2021-02-11T23:08:04Z,,,08-043,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
47,36.241858927533,-80.0778671354055,0,2021-02-11T23:08:04Z,,,08-044,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
48,36.2426050845534,-80.0754777062684,0,2021-02-11T23:08:04Z,,,08-045,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z
