
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2021-04-06T20:28:34Z,,36.151043940335512,-80.265824859961867,36.421919977292418,-79.743835804983974,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,

rte
ID,name,cmt,desc,src,number,type,IsAutoNamed,DisplayColor,TransportationMode,TripName,Date,DayNumber,

rtept
ID,rteID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,DepartureTime,StopDuration,ArrivalTime,CalculationMode,ElevationMode,NamedRoad_Name,NamedRoad_Id,NamedRoad_ProductId,TransportationMode,

wpt
ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime,

Address
wptID,StreetAddress1,StreetAddress2,City,State,Country,PostalCode,

PhoneNumber
wptID,Category,value,

Categories
wptID,Category,

trk
ID,name,cmt,desc,src,number,type,DisplayColor,
1,"Segment 08",,,,,,"DarkRed",

trkseg
ID,trkID,
1,1,

trkpt
ID,trksegID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Temperature,Depth,wtemp,hr,cad,
1,1,36.394563876092434,-80.265824859961867,518,,,,,,,,,,,,,,,,,,,,,,
2,1,36.394570162519813,-80.265817316249013,518,,,,,,,,,,,,,,,,,,,,,,
3,1,36.394959166646004,-80.265353797003627,517.99609375,,,,,,,,,,,,,,,,,,,,,,
4,1,36.395033095031977,-80.265275090932846,517.9375,,,,,,,,,,,,,,,,,,,,,,
5,1,36.39524188823998,-80.265052719041705,518,,,,,,,,,,,,,,,,,,,,,,
6,1,36.395313302055001,-80.264986418187618,518,,,,,,,,,,,,,,,,,,,,,,
7,1,36.395358480513096,-80.264973090961576,517.86328125,,,,,,,,,,,,,,,,,,,,,,
8,1,36.395406760275364,-80.264975186437368,517.90234375,,,,,,,,,,,,,,,,,,,,,,
9,1,36.395443305373192,-80.264998907223344,518,,,,,,,,,,,,,,,,,,,,,,
10,1,36.395473061129451,-80.264948112890124,517.5234375,,,,,,,,,,,,,,,,,,,,,,
11,1,36.395535171031952,-80.264867730438709,517.54296875,,,,,,,,,,,,,,,,,,,,,,
12,1,36.395569536834955,-80.264808889478445,517.6640625,,,,,,,,,,,,,,,,,,,,,,
13,1,36.395601639524102,-80.26473923586309,517.02734375,,,,,,,,,,,,,,,,,,,,,,
14,1,36.395652014762163,-80.264660278335214,515.953125,,,,,,,,,,,,,,,,,,,,,,
15,1,36.395695516839623,-80.264597246423364,515.32421875,,,,,,,,,,,,,,,,,,,,,,
16,1,36.395750250667334,-80.264548882842064,515.09765625,,,,,,,,,,,,,,,,,,,,,,
17,1,36.395795596763492,-80.264500267803669,514.75390625,,,,,,,,,,,,,,,,,,,,,,
18,1,36.39583264477551,-80.26444218121469,514.125,,,,,,,,,,,,,,,,,,,,,,
19,1,36.395866423845291,-80.264386525377631,513.54296875,,,,,,,,,,,,,,,,,,,,,,
20,1,36.395914703607559,-80.264303544536233,512.64453125,,,,,,,,,,,,,,,,,,,,,,
21,1,36.395956110209227,-80.264221066609025,511.7421875,,,,,,,,,,,,,,,,,,,,,,
22,1,36.396016040816903,-80.264125932008028,510.7265625,,,,,,,,,,,,,,,,,,,,,,
23,1,36.396067840978503,-80.264051500707865,509.921875,,,,,,,,,,,,,,,,,,,,,,
24,1,36.396135399118066,-80.263943122699857,508.75,,,,,,,,,,,,,,,,,,,,,,
25,1,36.396201616153121,-80.263862404972315,507.65625,,,,,,,,,,,,,,,,,,,,,,
26,1,36.396270096302032,-80.263797026127577,506.81640625,,,,,,,,,,,,,,,,,,,,,,
27,1,36.396362883970141,-80.263729216530919,506.1953125,,,,,,,,,,,,,,,,,,,,,,
28,1,36.396471178159118,-80.263666436076164,506,,,,,,,,,,,,,,,,,,,,,,
29,1,36.396539742127061,-80.263638440519571,506,,,,,,,,,,,,,,,,,,,,,,
30,1,36.396621465682983,-80.263610696420074,506,,,,,,,,,,,,,,,,,,,,,,
31,1,36.396675277501345,-80.263592004776001,506,,,,,,,,,,,,,,,,,,,,,,
32,1,36.396748283877969,-80.263535846024752,506,,,,,,,,,,,,,,,,,,,,,,
33,1,36.396819530054927,-80.263468623161316,506,,,,,,,,,,,,,,,,,,,,,,
34,1,36.396898152306676,-80.263416739180684,506,,,,,,,,,,,,,,,,,,,,,,
35,1,36.397008458152413,-80.263343565165997,506,,,,,,,,,,,,,,,,,,,,,,
36,1,36.397131504490972,-80.263273324817419,505.8203125,,,,,,,,,,,,,,,,,,,,,,
37,1,36.397267626598477,-80.263187410309911,506,,,,,,,,,,,,,,,,,,,,,,
38,1,36.397387739270926,-80.2631223667413,505.2109375,,,,,,,,,,,,,,,,,,,,,,
39,1,36.397463008761406,-80.263075260445476,504.28125,,,,,,,,,,,,,,,,,,,,,,
40,1,36.39754137955606,-80.263048270717263,503.34375,,,,,,,,,,,,,,,,,,,,,,
41,1,36.397629221901298,-80.263007283210754,502.3828125,,,,,,,,,,,,,,,,,,,,,,
42,1,36.397720165550709,-80.262954561039805,501.14453125,,,,,,,,,,,,,,,,,,,,,,
43,1,36.397818820551038,-80.262881303206086,500.03125,,,,,,,,,,,,,,,,,,,,,,
