
metadata
ID,name,desc,time,keywords,minlat,minlon,maxlat,maxlon,
1,,,2021-04-06T20:29:46Z,,36.151053411886096,-80.265963496640325,36.421866836026311,-79.743919959291816,

author
ID,name,email,

copyright
year,license,author,

link
metadataID,authorID,wptID,rteptID,trkptID,rteID,trkID,text,type,href,
1,,,,,,,"Garmin International",,http://www.garmin.com,

rte
ID,name,cmt,desc,src,number,type,IsAutoNamed,DisplayColor,TransportationMode,TripName,Date,DayNumber,

rtept
ID,rteID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,DepartureTime,StopDuration,ArrivalTime,CalculationMode,ElevationMode,NamedRoad_Name,NamedRoad_Id,NamedRoad_ProductId,TransportationMode,

wpt
ID,lat,lon,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime,
29,36.369572980329394,-80.133727071806788,0,2021-02-11T23:08:04Z,,,"08-027",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
30,36.367767518386245,-80.133088370785117,0,2021-02-11T23:08:04Z,,,"08-028",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
31,36.35855907574296,-80.142135042697191,0,2021-02-11T23:08:04Z,,,"08-029",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
32,36.35635145008564,-80.140213742852211,0,2021-02-11T23:08:04Z,,,"08-030",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
33,36.35599622502923,-80.138093372806907,0,2021-02-11T23:08:04Z,,,"08-031",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
34,36.349434535950422,-80.140695283189416,0,2021-02-11T23:08:04Z,,,"08-032",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
35,36.321411989629269,-80.103043606504798,0,2021-02-11T23:08:04Z,,,"08-033",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
36,36.31888828240335,-80.107004810124636,0,2021-02-11T23:08:04Z,,,"08-034",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
37,36.311851004138589,-80.105978948995471,0,2021-02-11T23:08:04Z,,,"08-035",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
38,36.30144227296114,-80.132309105247259,0,2021-02-11T23:08:04Z,,,"08-036",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
39,36.292847385630012,-80.141510758548975,0,2021-02-11T23:08:04Z,,,"08-037",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
40,36.293412996456027,-80.141773195937276,0,2021-02-11T23:08:04Z,,,"08-037T",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
41,36.291894530877471,-80.141026033088565,0,2021-02-11T23:08:04Z,,,"08-038",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
42,36.288921972736716,-80.141403721645474,0,2021-02-11T23:08:04Z,,,"08-039",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
43,36.265849024057388,-80.121105518192053,0,2021-02-11T23:08:04Z,,,"08-040",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
44,36.25786199234426,-80.103909876197577,0,2021-02-11T23:08:04Z,,,"08-041",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
45,36.251630131155252,-80.099102770909667,0,2021-02-11T23:08:04Z,,,"08-042",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
46,36.249300381168723,-80.096299191936851,0,2021-02-11T23:08:04Z,,,"08-043",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
47,36.241858927533031,-80.07786713540554,0,2021-02-11T23:08:04Z,,,"08-044",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
48,36.242605084553361,-80.07547770626843,0,2021-02-11T23:08:04Z,,,"08-045",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
49,36.244393195956945,-80.070345969870687,0,2021-02-11T23:08:04Z,,,"08-046",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
50,36.243922300636768,-80.069092456251383,0,2021-02-11T23:08:04Z,,,"08-047",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
51,36.242213062942028,-80.064479475840926,0,2021-02-11T23:08:04Z,,,"08-048",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
52,36.242066379636526,-80.062251314520836,0,2021-02-11T23:08:04Z,,,"08-049",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
53,36.241300022229552,-80.063429307192564,0,2021-02-11T23:08:04Z,,,"08-049T",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
54,36.240898445248604,-80.057493075728416,0,2021-02-11T23:08:04Z,,,"08-050",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
55,36.227725194767118,-80.054049789905548,0,2021-02-11T23:08:04Z,,,"08-051",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
56,36.21776120737195,-80.057363491505384,0,2021-02-11T23:08:04Z,,,"08-052",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
57,36.204045480117202,-80.057707317173481,0,2021-02-11T23:08:04Z,,,"08-053",,,,"Flag, Blue","user",,,,,,,,,,,SymbolAndName,,,2021-02-11T23:08:04Z,
